depth,2014-02-26,2014-03-26,2014-04-22,2014-06-24,2014-07-23,2014-08-12,2014-09-08,2014-10-07,2014-11-11,2014-12-08,2015-01-14,2015-02-10,2015-03-10,2015-04-14,2015-05-05,2015-06-09,2015-07-14,2015-08-10,2015-09-09,2015-10-06,2015-12-08,2016-01-19,2016-02-16,2016-03-08,2016-04-13,2016-05-17,2016-06-14,2016-07-12,2016-08-10,2016-09-07,2016-10-12,2016-11-09,2016-12-05,2017-02-08,2017-03-14,2017-04-19,2017-05-16,2017-06-13,2017-07-11,2017-08-08,2017-09-12,2017-10-12,2017-11-07,2017-12-13,2018-01-11,2018-02-07,2018-02-28,2018-03-13,2018-04-10,2018-05-15,2018-06-12,2018-07-17,2018-08-14,2018-09-11,2018-12-12,2019-02-12,2019-03-12,2019-04-09,2019-05-14,2019-06-12,2019-07-12,2019-08-13,2019-09-10,2020-01-23,2020-02-11,2020-03-10,2020-08-11,2020-09-08,2020-10-13,2020-11-10,2020-12-08,2021-01-19,2021-02-16,2021-03-16,2021-04-13,2021-05-11,2021-06-08,2021-07-13,2021-08-10,2021-09-07,2021-10-12,2021-11-09,2021-12-07,2022-01-18,2022-02-08,2022-03-08,2022-04-05,2022-05-10,2022-06-14,2022-07-12,2022-08-09,2022-09-06,2022-10-18,2022-11-08,2022-12-06,2023-01-17,2023-02-14,2023-03-14,2023-04-11,2023-05-09,2023-06-13,2023-07-18,2023-08-16,2023-09-05,2023-10-18,2023-11-14,2023-12-05
27.0,,,0.84,0.57,0.68,0.94,0.64,1.07,1.68,3.33,0.01,1.78,6.2,0.85,0.94,0.54,1.36,1.05,0.56,0.69,1.89,1.59,3.97,3.44,1.1,0.74,0.49,0.87,1.17,0.65,0.62,1.25,1.0,1.34,1.06,0.64,0.54,0.32,0.24,0.6,0.3,0.6,1.77,3.14,2.68011672458213,1.95432760488345,0.822308262846957,1.83286595383346,1.43836780248206,0.901428113053081,0.834410701759838,1.71485888141886,1.32401654154709,1.17289358866711,1.69333612468399,4.08223127537052,1.17105952206134,1.02423708818674,0.537737929796018,0.668407175802015,1.02771890237949,1.23525382260576,1.40423822590063,3.47572104761356,2.89738804618976,2.88283025426428,1.0288206251659,1.14130146253597,1.06144894681696,1.80758375137862,2.15584837261812,3.24251219962685,5.59410974700516,1.74547831100596,3.23532868881963,0.901819970305381,0.809191704983713,1.35830779579979,2.81307920434546,1.0924287309348,2.15418772564037,2.99799442703528,5.82288440829752,1.7215124001072,1.90126984650826,1.2001570135169048,2.05585500730395,1.12324565802125,0.90215015432791,1.41275803876473,1.52778460970679,1.01241996717032,1.27196547890304,1.55198232354762,2.72797232437061,2.81460596619301,2.58478765635542,2.23671127534591,1.74382212014978,1.53441120223948,1.52608365845684,1.01043187594096,1.49837827933126,1.56254095568081,14.6131236965704,3.29345058138367,2.68641028810054
28.0,,,0.88,0.57,0.6,0.96,0.66,1.14,1.66,3.4,0.01,1.78,5.98,0.85,0.96,0.5,1.29,1.05,0.69,0.66,1.76,1.59,3.94,3.32,1.05,0.74,0.46,0.89,1.18,0.59,0.57,1.73,1.66,1.34,1.01,0.63,0.54,0.29,0.22,0.53,0.25,0.58,1.26,3.17,2.77981199273881,1.97817556066109,0.81173625430179,1.77691642683704,1.47645605878731,0.866635877695353,0.828413710508029,1.5998112537493,1.46818421707899,1.25957577216303,1.63886092618503,3.98980051126341,1.00829950529347,0.971515171593279,0.5527180412883,0.649006104445663,1.02282697262628,1.43860612833009,1.31788691083676,3.46097129130394,3.20497379168416,2.94821595215053,0.948842322622467,1.01126107272371,0.947518847182069,1.71909932750507,2.2188120066444,3.27894172420861,5.78630678046618,1.70338795694471,3.16259728926513,0.880650091793026,0.817209817222032,1.28206511222942,2.49183999838107,1.05246250049607,2.17445882292679,3.26002881489452,6.09794432143888,1.7124966468589,1.97288840773235,1.115073004852077,1.78575713740653,1.07757275616086,0.956758565582225,1.4648939180336,1.58293748200975,0.967643709942383,1.27973996664968,1.47996136287272,2.67487342361742,2.58716409203127,2.36991802428145,2.12708395988011,1.86954301931172,1.28446870846745,1.33966837017146,0.975904070098166,1.49305690263775,1.37784434984124,13.880819627265,3.29751063509746,2.68443975932243
29.0,,,0.9,0.58,0.57,0.96,0.66,1.17,1.52,3.49,0.01,1.77,5.84,0.85,0.97,0.5,1.29,1.1,0.69,0.66,1.76,1.61,3.92,2.84,1.01,0.7,0.55,0.85,0.67,0.55,0.54,1.28,1.12,1.32,0.94,0.64,0.53,0.24,0.23,0.51,0.24,0.58,1.19,3.21,2.59529508630216,1.87787021375127,0.777017522314905,1.64602312433104,1.51425351167138,0.843100147660209,0.787664135549102,1.3442554708205,1.5102611844852,1.2805760199979,1.59676788306298,4.0809070776469,0.991162992380818,0.887436412176089,0.550055040353601,0.629378689180313,0.982622438456455,1.58488883418966,1.30114335828595,3.09606885112096,3.90196258488995,2.95264234882054,0.877385354281814,0.91208935193639,0.857127841439865,1.69188264266502,2.25364131443473,3.32197644645248,5.9273805672016,1.55980204100083,2.98647582562563,0.875619297780591,0.830679010819342,1.10321910173221,1.88812880662119,1.1262538060266,2.19909655772169,3.27727605833198,6.18754312817872,1.6728680765641,2.06886583007649,1.0736404273750602,1.59896729078067,1.03146605642892,0.948714830402155,1.35142716108478,1.57996161676657,1.01367598091841,1.33357266905162,1.50356378866676,2.66528535094842,2.42122974905859,2.27573336832614,2.01627186437635,2.00134968801349,1.20430267410066,1.19740343190255,0.948078377391117,1.28178005866116,1.16385597218032,13.1369425371864,3.10443651847633,2.7291208722397
30.0,,,0.93,0.58,0.56,0.95,0.67,1.16,1.5,3.54,0.01,1.78,5.72,0.85,0.98,0.45,1.29,1.09,0.64,0.63,1.74,1.6,3.79,,0.91,0.66,0.48,0.82,0.66,0.52,0.51,1.31,1.61,1.29,0.9,0.64,0.53,0.23,0.23,0.45,0.21,0.55,1.56,3.22,2.46062802554173,1.81550275778161,0.780516985222914,1.52042907152637,1.50066856053464,0.870794733565576,0.733092511100217,1.11994541260515,1.47493071373286,1.21574284886886,1.60799951217787,4.23700236708086,0.943546025164263,0.895307774408766,0.530730278323502,0.670717359940372,0.888271583566877,1.57161371981341,1.28388979099188,3.07154578203906,3.88865858496329,3.15405163288212,0.835432668236152,0.889470753175279,0.83998781905825,1.76238557178101,2.29916091365245,3.15022264101109,5.59648157360019,1.42909050559046,2.74683443438359,0.906279310247703,0.825760943458805,0.883615633829723,1.6292546018186,1.17173281788351,2.02379195806261,2.8930098585447,6.06731151796723,1.65350797912362,2.02326883950004,1.0870438623724514,1.53231003474947,0.999026480720993,0.881795501138911,1.18048134190565,1.54642502783389,1.05636808198203,1.39821492307543,1.54469997434966,2.76447391655175,2.41028510600311,2.45360158711165,1.97311114141878,2.14666621726673,1.21827648962588,1.17473066603004,0.951139730261418,1.03151618818113,0.969900227702551,12.3999944934954,3.03937993999825,2.65168107440246
31.0,N/A,N/A,0.95,0.58,0.51,0.95,0.71,1.12,1.5,3.54,0.01,1.77,5.45,0.84,0.96,0.43,1.25,1.14,0.63,0.63,1.73,1.62,3.87,,0.86,0.61,0.46,0.69,0.68,0.49,0.48,1.21,1.45,1.24,0.82,0.63,0.53,0.23,0.22,0.35,0.2,0.52,1.33,3.35,2.38004164509642,1.79040920165649,0.795660903100544,1.48945858537082,1.41396838047733,0.910747645577308,0.71965631886988,0.995593723921396,1.54949187865058,1.13265444179039,1.58851419545237,3.9396944662784,0.863137130273636,0.921629733898513,0.512953103380745,0.668248322923385,0.809076916072913,1.54601902391913,1.26781556037733,3.17740165715853,3.78174334830733,3.13890192551393,0.812123474877983,0.89239273944375,0.802406338157222,1.77999484676022,2.33208314137577,3.12127019533568,5.53415533502797,1.3583974444864,2.50124354262362,0.911073838200249,0.812283320066869,0.734245029516303,1.5035977287594,1.11153123988494,1.74396443006717,2.35398969536126,6.1502677872791,1.59565562375912,1.95370151102592,1.1478065979009415,1.37671012629756,1.00143576509776,0.813160898847644,1.06002122768328,1.55084875807456,1.0541171584603,1.42444330243602,1.61530243746937,2.6410915078584,2.42449957588824,2.51801998913854,1.90532838049739,2.2055166260052,1.26121871757347,1.14176435048314,0.970971108367517,0.974740707135181,0.936284604298103,11.5878551278563,3.03137855438116,2.53745886243555
32.0,N/A,N/A,0.98,0.56,0.51,0.91,0.72,1.08,1.45,3.52,0.01,1.73,5.52,0.83,0.97,0.41,1.25,1.16,0.63,0.61,1.67,1.63,3.9,,0.75,0.61,0.45,0.64,0.64,0.51,0.45,1.14,1.72,1.19,0.8,0.62,0.51,0.22,0.23,0.31,0.2,0.48,1.37,3.44,2.3352296070605,1.90509656444989,0.770900047642738,1.45080784059333,1.23768844835055,0.934829465624257,0.722420670382947,0.880893284762044,1.58744223356422,1.1261134330032,1.5343260872711,3.50649150686154,0.8674700701605,0.814068076695237,0.506883923648361,0.603712065523802,0.769625777478167,1.51491348798906,1.1353931569228,3.02118182428679,3.56975715962435,2.87048139031515,0.775015013101881,0.864279886134243,0.751000804392832,1.71254185413496,2.2782578518486,3.23701666726461,5.58762229208092,1.33471930269761,2.28637001689111,0.870364068538912,0.772621270636545,0.705488899876587,1.43287716723267,1.01996446075715,1.60428934431276,1.91546023828441,6.22713056307917,1.53715382811183,1.93148837917925,1.178230021565423,1.26150505820849,0.924832890160999,0.762695742356288,0.914849559623266,1.60414441944107,1.12731096219842,1.27287593181889,1.66847301748736,2.55574432439055,2.40739366629572,2.42533939067852,1.70903117597775,2.20186811450241,1.24976915141735,1.08476000682165,1.01825150345408,0.980428805745775,0.89819039727843,10.8113379168186,2.67870460013951,2.5364114691546
33.0,N/A,N/A,0.99,0.53,0.48,0.48,0.72,1.05,1.44,3.54,0.01,2.34,5.45,0.85,0.97,0.4,1.23,1.21,0.63,0.59,1.67,1.64,3.92,2.24,0.63,0.55,0.43,0.52,0.61,0.43,0.42,1.11,2.15,1.16,0.77,0.63,0.51,0.21,0.25,0.27,0.19,0.42,1.33,3.4,2.5152556831852,2.00089426462841,0.754037850698731,1.35612348881554,1.14299358533382,0.936498512911928,0.705487599208485,0.776779604812815,1.54668096763839,1.11176068703562,1.52108430196285,3.41361812423299,0.925021438587708,0.711205142868679,0.51493037567712,0.573090261556244,0.763176666238422,1.35548489412775,0.971260932563187,3.14570606701456,3.26046591054867,2.73454235498607,0.737707695433376,0.794968891701722,0.730707489834644,1.71077652071634,2.26777773345301,3.33947963128607,5.52903269773135,1.3300994368583,2.11241892695644,0.847496748347954,0.715225439866304,0.711645065158328,1.44784015506259,0.992659820231634,1.44518878931882,1.72092155906762,6.06881192938278,1.52964702864377,1.85643965192798,1.1716451103433168,1.17892890017036,0.79642793556442,0.738877496427573,0.800614853654154,1.57937816619287,1.2036365442199,1.07427094347934,1.54276179796455,2.60211683192999,2.44540488280183,2.34579581228419,1.60051582337603,2.09607542289136,1.22888951853652,1.0356064506536,1.06844204430285,0.901980582076408,0.788823129878443,10.2506782435331,2.25450902978129,2.49692329621666
34.0,N/A,N/A,1.0,0.52,0.45,0.63,0.73,1.02,1.44,3.58,0.01,1.65,5.46,0.8,0.96,0.4,1.2,1.24,0.65,0.57,1.64,1.67,3.87,2.09,0.45,0.48,0.37,0.48,0.57,0.39,0.4,1.06,1.51,1.11,0.76,0.64,0.5,0.22,0.25,0.22,0.18,0.28,1.3,3.43,2.54592411831348,1.97832323187296,0.773871839914979,1.27723788403487,1.08955651818991,0.887538393467439,0.700519123583165,0.677127983673395,1.55538422514905,1.07130587217981,1.52735921008901,3.59099270646482,0.957828898822803,0.714187249650776,0.511421427889843,0.538414019881606,0.748898793551751,1.07027526233354,0.901666533750905,2.92719902885777,2.93130678655467,2.69933061537668,0.725311663746772,0.709255322906427,0.71198501886164,1.55226812849255,2.23502242601112,3.52511942396284,5.06589180216098,1.33095363325899,1.97191991624558,0.841075296096547,0.66831002543228,0.692124749129582,1.48614698955412,0.983354910171534,1.22569021164827,1.65155203058526,4.96283041866747,1.55543187301908,1.84928713597413,1.1214380316410673,1.14424179510467,0.741276892834768,0.699832499221972,0.772996208460353,1.47721984445834,1.17443718624108,1.02336126972251,1.424688071176,2.60776917753888,2.46806053070052,2.29464324545411,1.82601322784596,2.00284060781091,1.34994191516072,1.01102043881125,1.1115229141327,0.789206412640561,0.740141600689779,9.90258052145553,2.15085331118162,2.39394231219814
35.0,N/A,N/A,1.01,0.48,0.44,0.75,0.76,0.48,1.45,3.6,0.01,1.69,5.4,0.78,0.97,0.39,1.15,1.27,0.64,0.53,2.11,1.63,3.87,2.28,0.43,0.48,0.37,0.46,0.53,0.36,0.37,1.0,1.11,1.07,0.76,0.62,0.5,0.22,0.23,0.19,0.18,0.25,0.76,3.44,2.63077183391907,1.84720245868835,0.770845618520311,1.270102876447,0.959010993297004,0.811234277259451,0.685667227651319,0.64577204763563,1.48182345104927,1.04419759892369,1.4977111008117,3.85963103029274,0.911302263556654,0.703111922087228,0.502230763402179,0.478535143830239,0.696104298767492,0.834990297847167,0.920752546349845,2.86104710398983,2.99312045900435,2.76666573440991,0.700435193647853,0.657559725565133,0.674693034111561,1.19758366304837,2.0896817611157,3.51017236986455,3.28642191069885,1.32485998907903,1.88342165141791,0.836278640019167,0.635288095877753,0.694768846853823,1.46326014247495,0.947214237763837,1.09762146489848,1.55848739394423,3.44707712456812,1.55072236208001,1.93450529622703,1.0210072043641105,1.15206856708454,0.780236004092081,0.687161593968967,0.749504993880917,1.42818914938233,1.09568726975531,1.00912306657258,1.44905861979585,2.60611138642738,2.34361842884711,2.29513244001896,1.88687650234175,1.89412398688809,1.50157781213071,0.97964109772616,1.10951405206752,0.775032516402122,0.762366686608574,9.56656390953811,2.15274563965378,2.33808448711144
36.0,N/A,N/A,1.01,0.48,0.4,0.47,0.76,0.44,1.44,3.68,0.01,1.27,5.4,0.78,0.95,0.39,1.1,1.27,0.59,0.52,1.99,1.62,3.83,2.28,0.4,0.42,0.35,0.45,0.45,0.33,0.33,0.92,0.99,1.04,0.74,0.61,0.47,0.22,0.23,0.17,0.18,0.23,0.57,3.4,2.48591277165533,1.8015346777441,0.74928237991543,1.23132107807723,0.856005965204066,0.766146470936462,0.663553947070399,0.666055993873514,1.29245237796868,1.06483371985992,1.45060058730939,3.86798250756483,0.893158738340488,0.639703378149884,0.49907419255405,0.46104084084569,0.623700227127503,0.73100671808906,0.876253304247826,2.9801398399125,3.06674883511986,2.75176345516034,0.658143060519479,0.640807092200491,0.640682814104665,0.994673014461908,2.03647487204827,3.27295683999409,2.93788156910842,1.31157498437621,1.84682849189144,0.835283524581546,0.603865422391387,0.703746653805004,1.43305058495201,0.896421034522274,0.982174265228551,1.44266575751054,3.75965910841753,1.48654193031522,1.97295833034781,0.9548758466954294,1.11310120752277,0.812557585870021,0.71316697691003,0.722663329886267,1.30013413619994,1.05704829339138,0.964980236785227,1.49449545819861,2.62041988161035,2.21794397527799,2.30330953188215,1.67861363905148,1.8060745441764,1.5202326983718,0.942133086913848,1.05108501264629,0.785445502340524,0.759750064502632,9.2230360752161,2.1995366702233,2.28895681230697
37.0,N/A,N/A,0.99,0.45,0.38,0.55,0.75,0.44,1.4,3.58,0.01,1.46,5.37,0.75,0.91,0.38,1.06,1.27,0.59,0.49,1.99,1.6,3.86,2.18,0.39,0.37,0.35,0.42,0.39,0.3,0.31,0.88,1.24,1.02,0.71,0.6,0.45,0.22,0.23,0.17,0.19,0.21,0.68,3.25,2.55009445086054,1.94478205026053,0.741716871481021,1.15465783567866,0.82963375342087,0.778837161839423,0.668812370684349,0.650421884635951,1.14928101616868,1.12739691827457,1.36814351807682,3.63802074232608,0.932358843709286,0.670725918372203,0.491269776727552,0.448283987797422,0.566596030521883,0.650946866501744,0.774095258953575,2.80220828736955,2.75028823681791,2.67539178070625,0.637302670966629,0.609420407781389,0.637808673661954,0.943742870179852,2.16334682447004,3.2689400923565,4.10440274690946,1.3155647618409,1.79550643199964,0.841886729946432,0.591225506730821,0.670820829410572,1.47525620692591,0.849058327011267,0.871525575953535,1.37348873121864,4.82929449117445,1.42892281556396,1.94544099992959,0.9334860300190031,1.07083960152429,0.793759784438269,0.702432102027697,0.706279544023365,1.10877644571109,1.03631858243611,0.871660234194976,1.48075635780616,2.59469253595213,2.24116014857548,2.25890590347321,1.57690425655091,1.71744777346792,1.46310059094006,0.972776138982537,1.00691788178706,0.734810478324637,0.707744710014587,8.86535827358318,2.13859304056057,2.20376854817052
38.0,N/A,N/A,1.0,0.42,0.37,0.53,0.75,0.44,1.37,3.58,0.01,1.15,5.38,0.73,0.84,0.38,1.06,1.27,0.59,0.48,1.59,1.6,3.88,2.14,0.38,0.37,0.34,0.41,0.36,0.28,0.27,0.82,1.06,0.99,0.64,0.6,0.42,0.22,0.22,0.18,0.17,0.2,0.62,3.09,2.57549871543246,2.06303854267417,0.739500490457975,1.08077285676041,0.817726918462693,0.825049187493417,0.661225267690675,0.606874291884778,1.08498940813498,1.16470903190107,1.2027584501977,3.65788125380122,0.88346102694375,0.709720081450847,0.467228656120311,0.431997078507452,0.542434320297318,0.605337024215462,0.7242756680184,2.8220810184525,2.32838335387059,2.68070815726477,0.620436433540177,0.585855288070859,0.649609571050007,0.897508019016383,2.20190626211736,3.3672003528764,4.38572038059027,1.32055073186418,1.72620075446209,0.844636257818979,0.591262302984474,0.655991818772809,1.5567597981479,0.809727874857927,0.863806117361429,1.36721424750826,3.5602960140736,1.42123504668663,1.8507090591944,0.9689568728911937,1.06268952216781,0.787318566206846,0.676985126353139,0.693222894516242,0.968435295944896,0.951809160641431,0.81933058190017,1.3391642987439,2.68248620640903,2.26317744774348,2.25791496917515,1.59513503400487,1.64592337706507,1.40897004552376,0.993996608617221,0.973058902866239,0.699724535306125,0.644833173272051,8.58208435011196,1.78611447610239,2.14305224670068
39.0,N/A,N/A,0.99,0.39,0.35,0.51,0.74,0.42,0.87,3.52,0.01,1.28,5.21,0.73,0.66,0.37,1.0,1.23,0.58,0.46,1.61,1.18,3.91,2.13,0.34,0.32,0.32,0.37,0.32,0.26,0.25,0.75,1.09,0.97,0.61,0.6,0.32,0.23,0.21,0.19,0.17,0.17,0.59,3.13,2.77767029970344,1.92186174930109,0.747322360125508,0.98520274122725,0.772342741530339,0.833260173349394,0.621780153929859,0.583343292741884,1.0660422631724,1.12104513337091,1.01946892329941,3.79483626666828,0.806695140115943,0.679749880495646,0.459401422279458,0.438505210645918,0.518572966628325,0.565693039042703,0.68469317892992,2.92446913514273,2.14039917752274,2.88529442298633,0.602197326462311,0.578201797128249,0.657254018688251,0.836648548589871,2.11697671044312,3.5355617536753,4.40241739987332,1.31844318216487,1.64112611189567,0.805158899583076,0.590083407361807,0.645815320328472,1.58736542286058,0.777496637074099,0.975125677376285,1.25997373868201,11.85463970764,1.43387328971199,1.75239575451335,1.010218855125878,1.03997355439129,0.781491810739843,0.671304161740793,0.671526438899343,0.844872484549255,0.822024931909266,0.832564591919306,1.20037273106817,2.86784095465906,2.2242457395237,2.20286831449184,1.56325149810965,1.51969846381638,1.34617720719816,0.946132085413947,0.910601933380314,0.677722843686974,0.6175512146099,8.36044719525991,1.36431121784187,1.98992191079913
40.0,,,0.98,0.35,0.33,0.51,0.7,0.41,0.87,3.43,0.01,1.94,5.14,0.7,0.64,0.36,0.94,1.23,0.58,0.43,1.76,1.13,3.85,2.12,0.29,0.27,0.31,0.36,0.29,0.25,0.21,0.68,1.05,0.98,0.55,0.56,0.31,0.22,0.2,0.17,0.17,0.13,0.56,3.01,2.73438815136943,1.78191278703702,0.752181874971135,0.913798047790448,0.710404658572869,0.814278782213616,0.58500235512074,0.574074777862769,1.00326891650539,1.04975984108323,0.919539131378898,3.79864659847321,0.834276865963912,0.586354278088673,0.462990801336536,0.453793718811474,0.499604382934407,0.531336868365142,0.65168507211436,2.78372697685256,2.09722382942021,3.10634819121659,0.646629202857509,0.556690915007703,0.650388690435877,0.80851201698139,2.06435694453597,3.61653778893298,3.89527280223747,1.32203030030017,1.56519945511522,0.753889908979407,0.580200358798444,0.615604867538791,1.58150281408579,0.748927061095046,1.06604592130755,1.05299579418157,21.0411854195608,1.43230946129403,1.79341157180467,1.0300849349038077,1.01951040245439,0.754490732802495,0.667061547581877,0.660321176531906,0.78968154936491,0.76366895838938,0.818168591137652,1.14957061195171,2.72819174501124,2.26945994314757,2.0703007480352,1.44241334635277,1.38107083822349,1.34788589798504,0.866281338786584,0.865838919950587,0.66704878240674,0.611531327898131,8.1585327069949,1.06066894736369,1.68230732328888
41.0,N/A,N/A,0.91,0.35,0.32,0.49,0.66,0.39,0.78,3.28,0.01,1.42,5.01,0.7,0.6,0.35,0.89,1.23,0.56,0.42,1.76,1.02,3.85,2.12,0.28,0.27,0.3,0.33,0.27,0.18,0.2,0.62,1.05,1.0,0.49,0.56,0.3,0.21,0.2,0.18,0.17,0.13,0.52,2.97,2.8279093893843,1.74496910390515,0.739782665789803,0.941080199623648,0.674946146692652,0.811044493467771,0.559725523200265,0.5749863008728,0.952473944763842,0.983012875172266,0.843715766783463,3.63675883564326,0.847659710950798,0.512465856118052,0.455578913046804,0.458383766025728,0.488839482820383,0.524931381067042,0.653407621981168,2.78069397054297,2.01394930418864,3.05791175424925,0.645586580608758,0.544931121859588,0.630425477490808,0.796231733481773,1.99500666834254,3.48342735739889,3.44309535150784,1.34037567305192,1.51929003846282,0.729266837267927,0.587068198183257,0.63481447624283,1.52950941457861,0.735899816429533,0.971584569652376,0.878064760401943,14.9051490401364,1.42748065516196,1.95503059154191,1.014917255315315,1.01057899660193,0.726724045872377,0.660380564069018,0.654944937772586,0.78843854239151,0.752409180031096,0.779261685028548,1.06739585155972,2.20285293932845,2.34522825869485,2.0593594508013,1.37545504405344,1.24266690593069,1.36492435112799,0.841700596541445,0.856050096373888,0.666218528120003,0.597059364507863,8.00175125051001,0.843778668816795,1.3835543093889
42.0,N/A,N/A,0.91,0.32,0.32,0.47,0.64,0.39,0.73,2.87,0.01,1.77,4.89,0.68,0.59,0.34,0.84,1.18,0.55,0.39,1.07,1.05,3.76,2.15,0.28,0.24,0.28,0.3,0.24,0.17,0.18,0.52,1.03,1.0,0.46,0.55,0.29,0.18,0.19,0.18,0.15,0.12,0.46,3.01,2.90839933387943,1.65007403540176,0.708463825402687,0.976425709746943,0.642277114551342,0.821549458542039,0.549823390660038,0.586381923578566,0.962272202159394,0.919551587664533,0.747997436329624,3.40704342616928,0.810990802235797,0.545541028188794,0.436927313715947,0.455998352430407,0.473283755994153,0.525074365889829,0.653490803833086,2.88767124977425,1.93708976229856,2.82837272277385,0.561043118091277,0.541639145839824,0.593814135046559,0.776429143617527,1.98543218773847,3.59214900473392,3.43516664435638,1.30228431578067,1.46998053670828,0.718630897783254,0.596213811577601,0.657741877285463,1.435222009412,0.718222925249732,0.828209726752605,0.790313844482254,4.06534715258524,1.42377893862212,1.992780019617,0.9619330544610641,0.953797826774699,0.720630640170779,0.648514303180606,0.652997211139491,0.776339565845947,0.746405723669583,0.744341609534431,1.03633513917587,1.5041526828904,2.31466420336151,2.06115442442034,1.43262112854895,1.13383016420043,1.30706087566266,0.839912899988531,0.846357909502974,0.703289400871492,0.576233524465638,7.9009604480856,0.732170932602243,1.17369575953576
43.0,N/A,N/A,0.87,0.29,0.31,0.47,0.58,0.36,0.73,,0.01,1.21,4.93,0.66,0.59,0.31,0.81,0.66,0.55,0.36,1.01,1.06,3.83,2.09,0.28,0.21,0.24,0.27,0.22,0.17,0.15,0.45,1.01,0.99,0.43,0.54,0.27,0.14,0.17,0.16,0.13,0.11,0.41,3.02,2.7616847429908,1.6167490602241399,0.689546146972208,0.943061144954108,0.606043660194651,0.819984335924067,0.536519411319423,0.591847357399202,0.944888110464641,0.901853524318792,0.704738661990891,3.35529232170035,0.757868873535475,0.597745780155281,0.424534520080244,0.453214756469481,0.460032849088382,0.507092557514527,0.648916552606977,2.75631126205674,1.92048779127098,2.75381579660011,0.509580021432998,0.533061628396467,0.558358468527354,0.747199649875403,2.07456746562242,3.75221004338942,3.38021694892749,1.24394309125505,1.39678597531471,0.700247223167156,0.584274651797676,0.62236193164314,1.33188449009576,0.677972975771086,0.772269161932895,0.76974164588764,3.21264046282979,1.38268067813915,1.85570388389094,0.8983045148439063,0.898383278505533,0.708228641411168,0.627550359596078,0.670631038863577,0.770892965748648,0.738699198532791,0.744646937524212,1.02780527741954,1.03873120238172,2.2064982947815,2.02537595661334,1.50305072147386,1.04842610415998,1.27923386981112,0.83164314926112,0.841422890164412,0.702370381807947,0.574927963290759,7.82344002098888,0.670112466017165,0.979750748490302
44.0,N/A,N/A,0.85,0.28,0.29,0.46,0.56,0.34,0.4,,0.01,0.99,4.93,0.64,0.55,0.31,0.74,0.66,0.54,0.36,0.63,1.03,3.89,2.05,0.28,0.18,0.22,0.26,0.21,0.16,0.13,0.3,0.96,0.98,0.4,0.51,0.26,0.13,0.16,0.16,0.13,0.11,0.37,2.99,2.55434331646007,1.63277339388103,0.680958729127636,0.867220408501143,0.584087934967878,0.804472102899073,0.515349934967092,0.553516922845152,0.902767339429608,0.934376411954804,0.708903923599223,3.36008567585087,0.691523623562025,0.580831812666645,0.426316258854772,0.451901562829229,0.458688007634176,0.483510629819712,0.628978910347638,2.90475670216575,1.87015863627773,3.0084169509263,0.508600664443187,0.519195515414597,0.547122450052943,0.740152308715449,1.9746150667888,3.54033615519398,2.892778695679,1.21070114938329,1.29933454151441,0.67231096835953,0.568108151726946,0.570916092588872,1.24004556109643,0.648761157256929,0.742857482482969,0.783915028163904,2.70585310615559,1.3527911088662,1.63215926883678,0.83994223471104,0.888883120017492,0.692045636264177,0.61350343820266,0.652424024410206,0.726058005559742,0.738149002965273,0.732192157648306,0.984962108522881,1.02325711855885,2.10602813381033,2.0352891488689,1.38676810182348,0.964052523741673,1.27737087955012,0.833824164571817,0.827983576256471,0.661629141437344,0.575272454849643,7.87922141664379,0.631992625090967,0.834441936267215
45.0,N/A,N/A,0.79,0.28,0.28,0.45,0.46,0.33,0.63,0.43,0.01,1.15,4.86,0.59,0.53,0.31,0.71,0.63,0.54,0.33,0.66,1.0,3.83,1.57,0.28,0.16,0.21,0.22,0.18,0.15,0.13,0.27,0.93,0.98,0.39,0.48,0.25,0.13,0.16,0.14,0.13,0.09,0.33,2.9,2.56836985206536,1.69318782369926,0.705149133789617,0.77609785040026,0.574844747403084,0.783422552620876,0.497174524012666,0.508192076064009,0.855169123198635,0.919998707525831,0.670147837403901,3.35184963076903,0.638158082525506,0.549250713947112,0.433060669208492,0.456491113423237,0.460815968698396,0.471061728204508,0.589076629334382,2.85723818939119,1.79362473091537,3.08886280401807,0.517049087817993,0.508647562252465,0.537851684715247,0.739843106372838,1.6692200344368,3.42361047015866,2.28279369851754,1.2001092676438,1.19544514073452,0.651878381729722,0.563151637869059,0.550277398880162,1.18541166909899,0.637099915054245,0.726658612326853,0.783366412252743,2.45468998201388,1.36098568654362,1.47833167414518,0.7991601967965666,0.870871900961304,0.685395892539289,0.61193883177894,0.606369935855644,0.643601978031731,0.739110780037181,0.694536937457418,0.947146498418762,1.05078857371065,1.99457269129225,2.0613436315285,1.17919077918839,0.89639752552054,1.1561059730789,0.855394411860742,0.772769758388051,0.615214396546756,0.5652612784504,7.9586363551924,0.638679376764351,0.762005980585833
